,region,province,city,barangay,risk_score_category,predicted_risk_score_category,predicted_risk_category
0,Region XI,Davao del Sur,Davao City,Catigan,3 - High,3 - High,High
1,Region XI,Davao del Sur,Davao City,Barangay 27-C (Pob.),1 - Low,1 - Low,Low
2,Region XI,Davao del Sur,Davao City,Manambulan,2 - Medium,2 - Medium,Medium
3,Region XI,Davao del Sur,Davao City,Daliaon Plantation,3 - High,3 - High,High
4,Region XI,Davao del Sur,Davao City,Malamba,2 - Medium,2 - Medium,Medium
5,Region XI,Davao del Sur,Davao City,Barangay 32-D (Pob.),1 - Low,1 - Low,Low
6,Region XI,Davao del Sur,Davao City,Cawayan,2 - Medium,2 - Medium,Medium
7,Region XI,Davao del Sur,Davao City,Tacunan,3 - High,3 - High,High
8,Region XI,Davao del Sur,Davao City,Dalag,2 - Medium,2 - Medium,Medium
9,Region XI,Davao del Sur,Davao City,Barangay 2-A (Pob.),2 - Medium,2 - Medium,Medium
10,Region XI,Davao del Sur,Davao City,Barangay 15-B (Pob.),1 - Low,1 - Low,Low
11,Region XI,Davao del Sur,Davao City,Sumimao,2 - Medium,2 - Medium,Medium
12,Region XI,Davao del Sur,Davao City,Camansi,3 - High,3 - High,High
13,Region XI,Davao del Sur,Davao City,Paradise Embak,2 - Medium,2 - Medium,Medium
14,Region XI,Davao del Sur,Davao City,Barangay 29-C (Pob.),1 - Low,1 - Low,Low
15,Region XI,Davao del Sur,Davao City,Lapu-lapu,1 - Low,1 - Low,Low
16,Region XI,Davao del Sur,Davao City,Talandang,3 - High,3 - High,High
17,Region XI,Davao del Sur,Davao City,Santo Niño,1 - Low,1 - Low,Low
18,Region XI,Davao del Sur,Davao City,Catalunan Grande,2 - Medium,2 - Medium,Medium
19,Region XI,Davao del Sur,Davao City,Buda,1 - Low,1 - Low,Low
20,Region XI,Davao del Sur,Davao City,Wilfredo Aquino,1 - Low,1 - Low,Low
21,Region XI,Davao del Sur,Davao City,Ilang,1 - Low,1 - Low,Low
22,Region XI,Davao del Sur,Davao City,Marilog,2 - Medium,2 - Medium,Medium
